;samp_size;power_50;power_60;power_70;power_80;freq_power_barrel;freq_power_test1;freq_power_test2
1;50;0.569;0.462;0.358;0.249;0.214;0.215;0.253
2;100;0.604;0.5;0.391;0.267;0.271;0.333;0.271
3;200;0.641;0.553;0.448;0.322;0.324;0.551;0.324
4;300;0.679;0.585;0.473;0.349;0.348;0.7;0.348
5;500;0.72;0.62;0.52;0.4;0.397;0.879;0.397
6;1000;0.773;0.684;0.604;0.475;0.478;0.988;0.478
7;2000;0.868;0.804;0.706;0.604;0.603;1;0.603
8;4000;0.937;0.901;0.845;0.759;0.756;1;0.756
